topn,dataset,setting,MAC,pvalue
3,IMDB,biased,0.8900595993687674,
3,IMDB,soft,0.960048412909323,6.990318988735314e-17
3,IMDB,biased,0.901257733538688,
3,IMDB,soft,0.9619809582384001,2.3324458815396756e-27
3,IMDB,biased,0.9149367410800133,
3,IMDB,soft,0.9667059822371808,8.723936174773737e-16
3,IMDB,biased,0.9016028924382555,
3,IMDB,soft,0.9533215933395344,3.0818574342703814e-15
3,RealToxicityPrompts,biased,0.8878900045604967,
3,RealToxicityPrompts,soft,0.9637223442054688,7.520354792674454e-36
3,RealToxicityPrompts,biased,0.9025247701885021,
3,RealToxicityPrompts,soft,0.9705159386225116,2.5096691828689359e-29
3,RealToxicityPrompts,biased,0.9000576685093871,
3,RealToxicityPrompts,soft,0.9658877201395728,2.8844716238650447e-29
3,RealToxicityPrompts,biased,0.8971446903550617,
3,RealToxicityPrompts,soft,0.9642393008061528,1.3193859801178177e-27
3,XSum,biased,0.8750806129874681,
3,XSum,soft,0.955466439140976,6.534867297789655e-33
3,XSum,biased,0.9076376553551742,
3,XSum,soft,0.9645842448497962,1.177950541990795e-28
3,XSum,biased,0.9007759194805842,
3,XSum,soft,0.9618054994517993,1.6176207518305323e-28
3,XSum,biased,0.9016108065437457,
3,XSum,soft,0.9690301985183158,4.166367996782838e-28
3,CNN,biased,0.9052486989800619,
3,CNN,soft,0.9697922271388519,1.372246412333955e-18
3,CNN,biased,0.9189299155442162,
3,CNN,soft,0.9681387136331709,6.701731228215949e-22
3,CNN,biased,0.9145399754345223,
3,CNN,soft,0.9667184931521532,2.3281229427077136e-18
3,CNN,biased,0.9139465205732236,
3,CNN,soft,0.9645704160132886,2.6637733672059975e-23
5,IMDB,biased,0.8900595993687674,
5,IMDB,soft,0.9525878633126703,1.4330586154984747e-16
5,IMDB,biased,0.901257733538688,
5,IMDB,soft,0.9517255702910224,3.81998462123527e-19
5,IMDB,biased,0.9149367410800133,
5,IMDB,soft,0.9580444892255551,1.3177980084485403e-13
5,IMDB,biased,0.9016028924382555,
5,IMDB,soft,0.967747628326258,4.726479945409409e-18
5,RealToxicityPrompts,biased,0.8878900045604967,
5,RealToxicityPrompts,soft,0.9685685850324117,8.986735067088758e-36
5,RealToxicityPrompts,biased,0.9025247701885021,
5,RealToxicityPrompts,soft,0.953636044859334,3.58937316065438e-19
5,RealToxicityPrompts,biased,0.9000576685093871,
5,RealToxicityPrompts,soft,0.9610313925645624,3.0470523072255922e-25
5,RealToxicityPrompts,biased,0.8971446903550617,
5,RealToxicityPrompts,soft,0.9627548490242791,4.526678704580628e-32
5,XSum,biased,0.8750806129874681,
5,XSum,soft,0.9518133374311599,1.2140512584595984e-30
5,XSum,biased,0.9076376553551742,
5,XSum,soft,0.9658506183737763,1.795964286550037e-28
5,XSum,biased,0.9007759194805842,
5,XSum,soft,0.9572855933952018,5.894686116522429e-24
5,XSum,biased,0.9016108065437457,
5,XSum,soft,0.9615849783600098,2.7196557419039672e-27
5,CNN,biased,0.9052486989800619,
5,CNN,soft,0.9640635863461373,3.235147868411595e-17
5,CNN,biased,0.9189299155442162,
5,CNN,soft,0.9706939151549734,5.519719965872175e-20
5,CNN,biased,0.9145399754345223,
5,CNN,soft,0.9727328354065083,2.6109817292146706e-21
5,CNN,biased,0.9139465205732236,
5,CNN,soft,0.9671760128163973,5.1289760088328785e-21
10,IMDB,biased,0.8900595993687674,
10,IMDB,soft,0.9517154834480147,9.570956352416586e-15
10,IMDB,biased,0.901257733538688,
10,IMDB,soft,0.9632396987435757,9.597058604827583e-33
10,IMDB,biased,0.9149367410800133,
10,IMDB,soft,0.9646835047391357,1.298579650857572e-17
10,IMDB,biased,0.9016028924382555,
10,IMDB,soft,0.9510533871819821,5.027725653684687e-14
10,RealToxicityPrompts,biased,0.8878900045604967,
10,RealToxicityPrompts,soft,0.955434455403004,4.962905513270685e-34
10,RealToxicityPrompts,biased,0.9025247701885021,
10,RealToxicityPrompts,soft,0.9717843561799148,2.387590428515322e-28
10,RealToxicityPrompts,biased,0.9000576685093871,
10,RealToxicityPrompts,soft,0.9687594254515597,3.526399591139567e-33
10,RealToxicityPrompts,biased,0.8971446903550617,
10,RealToxicityPrompts,soft,0.972906835862411,8.219124655447873e-30
10,XSum,biased,0.8750806129874681,
10,XSum,soft,0.9451468816966574,7.188676139791584e-30
10,XSum,biased,0.9076376553551742,
10,XSum,soft,0.961207466496788,7.905357384694722e-22
10,XSum,biased,0.9007759194805842,
10,XSum,soft,0.9639098199567693,1.4274763861791928e-26
10,XSum,biased,0.9016108065437457,
10,XSum,soft,0.9573599680786614,1.8851771452305144e-25
10,CNN,biased,0.9052486989800619,
10,CNN,soft,0.9581804437299731,8.201864107966071e-16
10,CNN,biased,0.9189299155442162,
10,CNN,soft,0.9604348243763589,4.366735250384649e-15
10,CNN,biased,0.9145399754345223,
10,CNN,soft,0.9625199781688469,8.563742252325247e-14
10,CNN,biased,0.9139465205732236,
10,CNN,soft,0.9649538088778689,7.809671573601281e-20
