topn,dataset,setting,MAC,pvalue
3,IMDB,biased,0.8900595993687674,
3,IMDB,soft,0.9576963485956287,1.768025189477984e-14
3,IMDB,biased,0.901257733538688,
3,IMDB,soft,0.9609702425054288,1.8105409201984587e-28
3,IMDB,biased,0.9149367410800133,
3,IMDB,soft,0.9721754333896581,9.407631426425602e-20
3,IMDB,biased,0.9016028924382555,
3,IMDB,soft,0.9487495532502699,1.239487270499523e-10
3,RealToxicityPrompts,biased,0.8878900045604967,
3,RealToxicityPrompts,soft,0.9650468145466351,6.76034446083707e-29
3,RealToxicityPrompts,biased,0.9025247701885021,
3,RealToxicityPrompts,soft,0.9633814621651599,2.200024084600436e-28
3,RealToxicityPrompts,biased,0.9000576685093871,
3,RealToxicityPrompts,soft,0.9698837100946573,6.521357969036664e-32
3,RealToxicityPrompts,biased,0.8971446903550617,
3,RealToxicityPrompts,soft,0.9674998599047818,6.253869272915367e-32
3,XSum,biased,0.8750806129874681,
3,XSum,soft,0.9616161164395925,6.958972621645985e-32
3,XSum,biased,0.9076376553551742,
3,XSum,soft,0.9607862129530255,7.626025864976653e-23
3,XSum,biased,0.9007759194805842,
3,XSum,soft,0.961081155942679,6.204757339711603e-26
3,XSum,biased,0.9016108065437457,
3,XSum,soft,0.9619692849357666,3.5445957856018225e-26
3,CNN,biased,0.9052486989800619,
3,CNN,soft,0.9607162358387971,1.466323982185315e-16
3,CNN,biased,0.9189299155442162,
3,CNN,soft,0.9753465888854489,2.852310934305061e-22
3,CNN,biased,0.9145399754345223,
3,CNN,soft,0.9666990823749805,4.398696095529893e-21
3,CNN,biased,0.9139465205732236,
3,CNN,soft,0.968365865468505,3.444973788078051e-23
5,IMDB,biased,0.8924449925851322,
5,IMDB,soft,0.9578340064271873,4.59476222220672e-17
5,IMDB,biased,0.913801116215085,
5,IMDB,soft,0.954551117865339,1.4501816691404045e-16
5,IMDB,biased,0.9201921614416071,
5,IMDB,soft,0.9631265039892389,3.094417500238541e-13
5,IMDB,biased,0.9045366452698621,
5,IMDB,soft,0.960394421394269,7.436870634950666e-24
5,RealToxicityPrompts,biased,0.892929676932357,
5,RealToxicityPrompts,soft,0.9608154469504926,3.8663902326015565e-28
5,RealToxicityPrompts,biased,0.908254940407731,
5,RealToxicityPrompts,soft,0.9681355931820718,7.46098299536764e-33
5,RealToxicityPrompts,biased,0.9060307105761363,
5,RealToxicityPrompts,soft,0.9709028585195276,4.2024958520142715e-30
5,RealToxicityPrompts,biased,0.9034882884223088,
5,RealToxicityPrompts,soft,0.9606636158915816,4.957673130928703e-28
5,XSum,biased,0.8875248479978606,
5,XSum,soft,0.9456478308668513,3.3296583499486883e-21
5,XSum,biased,0.909148421506793,
5,XSum,soft,0.9616343611045474,1.2804736279588812e-27
5,XSum,biased,0.9051692103179855,
5,XSum,soft,0.9663684804826602,1.0856003829198048e-24
5,XSum,biased,0.9030248752580299,
5,XSum,soft,0.963678778751291,1.334076050679125e-28
5,CNN,biased,0.887352552313656,
5,CNN,soft,0.9620954673595167,4.219795234578686e-26
5,CNN,biased,0.9093289421563022,
5,CNN,soft,0.9780365381021391,7.025402717701499e-28
5,CNN,biased,0.9036229530610362,
5,CNN,soft,0.9690878406332408,4.935534816937185e-34
5,CNN,biased,0.9016814707879408,
5,CNN,soft,0.9680561804853663,2.643098493724924e-26
10,IMDB,biased,0.9021656887176887,
10,IMDB,soft,0.9610211746843488,9.908768027584141e-17
10,IMDB,biased,0.9194642912946863,
10,IMDB,soft,0.9713075173559782,1.4658353986240327e-16
10,IMDB,biased,0.9225352943412151,
10,IMDB,soft,0.9732861144105053,2.6494144071098906e-18
10,IMDB,biased,0.9158963837822863,
